,b1,b2,entrie_b1,entrie_b2,entrie_s,error,s,significance,sumw2_b1,sumw2_b2,sumw2_s,vor_point,vor_region,vor_qt,vor_label
0,0.0,0.0,0.0,0.0,1.0,0.0,0.00338119454682,0.219560768495,0.0,0.0,1.143247664e-05,843,1783,0,0
1,0.0,0.0,0.0,0.0,1.0,0.0,0.00316814426333,0.211560936723,0.0,0.0,5.13837130711e-06,188,3012,0,0
2,0.0,0.0,0.0,0.0,1.0,0.0,0.00316773564555,0.211545366498,0.0,0.0,5.29420503881e-06,4642,419,0,0
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0030012934003,0.20512662131,0.0,0.0,9.00776194612e-06,1047,4757,0,0
4,0.0,0.0,0.0,0.0,1.0,0.0,0.00287216086872,0.200036506496,0.0,0.0,4.16977445639e-06,2321,3753,0,0
5,0.0,0.0,0.0,0.0,1.0,0.0,0.00282359449193,0.198095797776,0.0,0.0,4.09652648159e-06,1597,4306,0,0
6,0.0,0.0,0.0,0.0,1.0,0.0,0.00281985593028,0.197945790375,0.0,0.0,2.90356592814e-06,4671,4261,0,0
7,0.0,0.0,0.0,0.0,1.0,0.0,0.00262931315228,0.190179020454,0.0,0.0,4.08324922319e-06,429,3150,0,0
8,0.0,0.0,0.0,0.0,1.0,0.0,0.00262508634478,0.190003935742,0.0,0.0,3.82730877391e-06,2957,2222,0,0
9,0.0,0.0,0.0,0.0,1.0,0.0,0.00259924051352,0.188930594217,0.0,0.0,6.75605133438e-06,3897,4290,0,0
10,0.0,0.0,0.0,0.0,1.0,0.0,0.00258316961117,0.1882607936,0.0,0.0,3.67734787687e-06,2980,3016,0,0
11,0.0,0.0,0.0,0.0,1.0,0.0,0.00257555069402,0.187942605061,0.0,0.0,3.40288124789e-06,3094,3057,0,0
12,0.0,0.0,0.0,0.0,1.0,0.0,0.00253599463031,0.186283843084,0.0,0.0,6.43126895739e-06,453,1340,0,0
13,0.0,0.0,0.0,0.0,1.0,0.0,0.00241870363243,0.181296310419,0.0,0.0,5.8501273088e-06,256,3014,0,0
14,0.0,0.0,0.0,0.0,1.0,0.0,0.002404299099,0.180676437643,0.0,0.0,5.78065419177e-06,4524,726,0,0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.00237294030376,0.179321226748,0.0,0.0,5.63084586247e-06,1270,3689,0,0
16,0.0,0.0,0.0,0.0,1.0,0.0,0.00236575817689,0.17900972245,0.0,0.0,5.59681166123e-06,4144,766,0,0
17,0.0,0.0,0.0,0.0,1.0,0.0,0.00235477089882,0.178532365178,0.0,0.0,5.54494590688e-06,3663,775,0,0
18,0.0,0.0,0.0,0.0,1.0,0.0,0.00233753444627,0.17778150274,0.0,0.0,5.46406727153e-06,3953,1272,0,0
19,0.0,0.0,0.0,0.0,1.0,0.0,0.00229760329239,0.176032480547,0.0,0.0,2.66337656285e-06,4037,1545,0,0
20,0.0,0.0,0.0,0.0,1.0,0.0,0.0022604255937,0.174391868442,0.0,0.0,5.10952395416e-06,3806,2158,0,0
21,0.0,0.0,0.0,0.0,1.0,0.0,0.00225044554099,0.173949420837,0.0,0.0,5.06450533067e-06,3442,1956,0,0
22,0.0,0.0,0.0,0.0,1.0,0.0,0.00224675936624,0.17378578039,0.0,0.0,2.58686304733e-06,1621,251,0,0
23,0.0,0.0,0.0,0.0,1.0,0.0,0.00224668253213,0.173782368222,0.0,0.0,2.59490866483e-06,2233,3187,0,0
24,0.0,0.0,0.0,0.0,1.0,0.0,0.00224124849774,0.173540913469,0.0,0.0,5.02319471707e-06,4020,2411,0,0
25,0.0,0.0,0.0,0.0,1.0,0.0,0.00223249034025,0.173151206825,0.0,0.0,4.98401323057e-06,2663,2754,0,0
26,0.0,0.0,0.0,0.0,1.0,0.0,0.0022107346449,0.172180204259,0.0,0.0,4.88734758619e-06,479,3798,0,0
27,0.0,0.0,0.0,0.0,1.0,0.0,0.00221072183922,0.172179631467,0.0,0.0,4.88729119752e-06,2885,3768,0,0
28,0.0,0.0,0.0,0.0,1.0,0.0,0.00218794750981,0.171158600728,0.0,0.0,4.78711444885e-06,347,4403,0,0
29,0.0,0.0,0.0,0.0,1.0,0.0,0.00217909505591,0.17076044884,0.0,0.0,4.74845546705e-06,1985,2133,0,0
30,0.0,0.0,0.0,0.0,1.0,0.0,0.00214537000284,0.169236987673,0.0,0.0,4.60261253465e-06,3904,2847,0,0
